No,Authors,Year,Title,Journal,DOI,Country studied,Place studied,Technology modelled,Type of model purpose,PBA status,Spatial status ,Empirical status,Empirical data type,Decision-making level modelled
1,Sundaram A.; Gon?alves J.; Ghorbani A.; Verma T.,2024,"Network dynamics of solar PV adoption: Reconsidering flat tax-credits and influencer seeding for inclusive renewable energy access in Albany county, New York",Energy Research and Social Science,10.1016/j.erss.2024.103518,US,"Albany county, New York",Solar PV,Support policy design,Yes,Spatially explicit and geographically accurate,Empirically grounded agent attributes,Quantitative secondary,Household
2,Danielis R.; Scorrano M.; Massi Pavan A.; Blasuttigh N.,2023,"Simulating the Diffusion of Residential Rooftop Photovoltaic, Battery Storage Systems and Electric Cars in Italy. An Exploratory Study Combining a Discrete Choice and Agent-Based Modelling Approach",Energies,10.3390/en16010557,Italy,-,"Solar PV, Battery storage","Exploratory, Prediction, Policy evaluation",No,No spatial data used,Empirically grounded decision-making rules,"Quantitative first-hand, Quantitative secondary",Household
3,Nu?ez-Jimenez A.; Mehta P.; Griego D.,2023,Let it grow: How community solar policy can increase PV adoption in cities,Energy Policy,10.1016/j.enpol.2023.113477,Switzerland,The Alt-Wiedikon city district in Zurich,Solar PV,"Diffusion, Support policy design",Yes,Spatially explicit and geographically accurate,Empirically grounded agent attributes,Quantitative secondary,Building owner
4,Moglia M.; Nygaard C.A.; Glackin S.; Cook S.; Tapsuwan S.,2022,"Hybrid Approach for Modelling the Uptake of Residential Solar PV Systems, with Case Study Application in Melbourne, Australia",JASSS,10.18564/jasss.4921,Australia,Melbourne metropolitan region,Solar PV,"Prediction, Diffusion, Decision support",Yes,Spatial feature data used in simulation,"Empirically grounded agent attributes, Empirically grounded model environment","Qualitative first-hand, Quantitative first-hand, Quantitative secondary",Household
5,Meles T.H.; Ryan L.,2022,Adoption of renewable home heating systems: An agent-based model of heat pumps in Ireland,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2022.112853,Ireland,Four regions in Ireland by rural and urban areas,Heat pump,"Diffusion, Decision support",No,Spatial feature data used in simulation,"Empirically grounded agent attributes, Empirically grounded decision-making rules","Quantitative first-hand, Quantitative secondary",Household
6,Zhang N.; Lu Y.; Chen J.; Hwang B.-G.,2022,An agent-based diffusion model for Residential Photovoltaic deployment in Singapore: Perspective of consumers?? behaviour,Journal of Cleaner Production,10.1016/j.jclepro.2022.132793,Singapore,-,Solar PV,"Diffusion, Support policy design, Policy evaluation",No,No spatial data used,Empirically calibrated model parameters,Quantitative secondary,Household
7,Boumaiza A.; Sanfilippo A.; Mohandes N.,2022,Modeling multi-criteria decision analysis in residential PV adoption,Energy Strategy Reviews,10.1016/j.esr.2021.100789,Qatar,-,Solar PV,"Scenario generation, Decision support",No,No spatial data used,Empirically grounded agent attributes,Quantitative secondary,Household
8,N?geli C.; Jakob M.; Catenazzi G.; Ostermeyer Y.,2020,Towards agent-based building stock modeling: Bottom-up modeling of long-term stock dynamics affecting the energy and climate impact of building stocks,Energy and Buildings,10.1016/j.enbuild.2020.109763,Switzerland,-,"Heat pump, Heat network, Solar PV","Support building stock development study, Policy evaluation",No,No spatial data used,"Empirically grounded agent attributes, Empirically calibrated model parameters, Empirically validated model outputs",Quantitative secondary,Building
9,Grant C.A.; Hicks A.L.,2020,"Global Warming Impacts of Residential Electricity Consumption: Agent-Based Modeling of Rooftop Solar Panel Adoption in Los Angeles County, California",Integrated Environmental Assessment and Management,10.1002/ieam.4315,US,"Los Angeles (LA) County, California",Solar PV,"Prediction, Policy evaluation",Yes,No spatial data used,Empirically grounded decision-making rules,"Quantitative first-hand, Quantitative secondary",Household
10,Nu&ntilde;ez-Jimenez A.; Knoeri C.; Hoppmann J.; Hoffmann V.H.,2020,Can designs inspired by control theory keep deployment policies effective and cost-efficient as technology prices fall?,Environmental Research Letters,10.1088/1748-9326/ab6fbf,Germany,-,Solar PV,"Policy evaluation, Support policy design, Diffusion",No,Spatial feature data used in simulation,"Empirically grounded agent attributes, Empirically calibrated model parameters, Empirically validated model outputs",Quantitative secondary,Household and Firm
